DATABASE SCHEMA FOR ASSET MANAGEMENT SYSTEM,,,,
,,,,
Prepared For:,,,,
Mindstix Foundation Trust,,,,
,,,,
Date,Authors,Note,,
2024-12-19,AI Assistant,Database Schema for Asset Management System,,
,,Following PostgreSQL conventions and Test Vista design patterns,,
,,,,
Abbreviation,Definition,,,
PK,Primary Key — a unique identifier for table records,,,
FK,Foreign Key — links records between tables,,,
1-M,one to many relationship,,,
1-1,one to one relationship,,,
,,,,
OVERVIEW,,,, 
This database schema contains 25 tables organized into logical groups:,,,,
,,,,
USER & ACCESS MANAGEMENT,,,, 
01_user_table.csv,System users with authentication,,,
02_role_table.csv,User roles (Admin Manager Employee),,,
03_user_role_table.csv,Role assignments,,,
,,,,
ORGANIZATIONAL STRUCTURE,,,, 
04_employee_table.csv,Employee information,,,
09_department_table.csv,Departments (IT HR Finance),,,
10_location_table.csv,Office locations,,,
18_address_table.csv,Physical addresses,,,
19_city_table.csv,City information,,,
20_state_table.csv,State/Province information,,,
21_country_table.csv,Country information,,,
,,,,
ASSET MANAGEMENT CORE,,,, 
05_asset_table.csv,Main asset records,,,
06_asset_assignment_table.csv,Asset-to-employee assignments,,,
11_asset_category_table.csv,Asset categories (Electronics Furniture),,,
12_asset_type_table.csv,Asset types (Laptop Monitor Mobile),,,
13_brand_table.csv,Manufacturers (Apple Dell HP),,,
14_model_table.csv,Specific models with specifications,,,
15_vendor_table.csv,Suppliers and vendors,,,
,,,,
MAINTENANCE MANAGEMENT,,,, 
07_maintenance_record_table.csv,Maintenance history,,,
16_maintenance_type_table.csv,Types of maintenance,,,
17_maintenance_schedule_table.csv,Scheduled maintenance,,,
,,,,
SYSTEM FEATURES,,,, 
08_audit_log_table.csv,Complete audit trail,,,
22_notification_table.csv,System notifications,,,
23_system_setting_table.csv,Configuration settings,,,
24_report_template_table.csv,Report generation,,,
25_file_attachment_table.csv,File management,,,
,,,,
IMPORT INSTRUCTIONS,,,, 
1. Create a new Google Sheets workbook,,,
2. Import each CSV file as a separate sheet,,,
3. Name each sheet with the table name (e.g. user role asset),,,
4. Each sheet follows the Test Vista format:,,,
   - Row 1: Table name and number,,,
   - Row 2: Purpose description,,,
   - Row 3: Empty row,,,
   - Row 4: Column headers,,,
   - Row 5+: Column definitions,,,
,,,,
KEY FEATURES,,,, 
✓ PostgreSQL-optimized data types,,,
✓ Complete audit trail with created_by/updated_by,,,
✓ Soft delete pattern using is_active flags,,,
✓ Timezone-aware timestamps (TIMESTAMPTZ),,,
✓ Comprehensive foreign key relationships,,,
✓ JSON support for flexible data,,,
✓ Performance indexes recommendations included,,,
✓ Business rules and constraints documented,,, 
